LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | XZ -> PT | ET -> PO | PZ -> EG | PG -> XO | LT -> EZ | XZ -> PT | LT -> EZ | LO -> XT | ET -> PO | LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | XZ -> PT | PG -> XO | XZ -> PT | ET -> PO | LT -> EZ | LT -> EZ | LO -> XT | XZ -> PT | LO -> XT | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | XZ -> PT | PG -> XO | XZ -> PT | LO -> XT | LT -> EZ | XZ -> PT | LO -> XT | ET -> PO | LT -> EZ | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | XZ -> PT | PG -> XO | XZ -> PT | LT -> EZ | LO -> XT | XZ -> PT | LO -> XT | ET -> PO | LT -> EZ | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | XZ -> PT | LT -> EZ | PG -> XO | LT -> EZ | XZ -> PT | ET -> PO | LO -> XT | XZ -> PT | LO -> XT | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | LT -> EZ | XZ -> PT | LT -> EZ | PZ -> EG | LT -> EZ | LO -> XT | LT -> EZ | XZ -> PT | ET -> PO | LO -> XT | ET -> PO | XZ -> PT | PG -> XO | ELPX -> GOTZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | XZ -> PT | LO -> XT | PG -> XO | LT -> EZ | ET -> PO | LT -> EZ | LT -> EZ | XZ -> PT | XZ -> PT | LO -> XT | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | XZ -> PT | LO -> XT | PG -> XO | LT -> EZ | LO -> XT | LT -> EZ | XZ -> PT | XZ -> PT | ET -> PO | LT -> EZ | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ELPX -> GOTZ | XZ -> PT | LO -> XT | PG -> XO | LT -> EZ | LT -> EZ | XZ -> PT | XZ -> PT | LO -> XT | ET -> PO | LT -> EZ | PZ -> EG | ELPX -> GOTZ | ET -> PO | LT -> EZ
LLLLLX x2 + O   =>  LO -> XT | LT -> EZ | XZ -> PT | ET -> PO | LO -> XT | LT -> EZ | PZ -> EG | PG -> XO | LO -> XT | ET -> PO | ELPX -> GOTZ | LT -> EZ | XZ -> PT | LT -> EZ | XZ -> PT | LT -> EZ | XZ -> PT | ELPX -> GOTZ
