GOP x4 + E  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LO -> XT | XG -> LZ | EO -> GL | EO -> GL | LT -> EZ | LO -> XT | GOTZ -> ELPX | PG -> XO | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LO -> XT | XG -> LZ | EO -> GL | XG -> LZ | LT -> EZ | EO -> GL | GOTZ -> ELPX | EO -> GL | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | EO -> GL | LT -> EZ | EO -> GL | GOTZ -> ELPX | PG -> XO | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | GOTZ -> ELPX | PG -> XO | PG -> XO | EO -> GL | PG -> XO | LO -> XT | LT -> EZ | PZ -> EG | LO -> XT | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | XG -> LZ | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | GOTZ -> ELPX | PG -> XO | PG -> XO | EO -> GL | XG -> LZ | LO -> XT | LO -> XT | PZ -> EG | LT -> EZ | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | GOTZ -> ELPX | PG -> XO | PG -> XO | EO -> GL | XG -> LZ | PZ -> EG | EO -> GL | LO -> XT | LT -> EZ | XG -> LZ | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | LT -> EZ | PG -> XO | PG -> XO | EO -> GL | LO -> XT | PG -> XO | GOTZ -> ELPX | PZ -> EG | LO -> XT | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | XG -> LZ | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | LT -> EZ | PZ -> EG | PG -> XO | PG -> XO | EO -> GL | EO -> GL | XG -> LZ | LO -> XT | GOTZ -> ELPX | XG -> LZ | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | PZ -> EG | XG -> LZ | EO -> GL | PG -> XO | GOTZ -> ELPX | EO -> GL | XG -> LZ | LO -> XT | LT -> EZ | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | EO -> GL | PZ -> EG | XG -> LZ | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ | LO -> XT | GOTZ -> ELPX | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | LO -> XT | LT -> EZ
